dateRep,day,month,year,cases,deaths,countries,geoId,countryterritoryCode,popData2019,continentExp,%ch_c,cases_yest
2020-05-02,2,5,2020,1402,163,Ecuador,EC,ECU,17373657.0,America,4.413127413127413,259
2020-03-28,28,3,2020,138,0,Singapore,SG,SGP,5804343.0,Asia,4.3076923076923075,26
2020-04-13,13,4,2020,158,0,Ghana,GH,GHA,30417858.0,Africa,4.266666666666667,30
2020-03-25,25,3,2020,600,1,Australia,AU,AUS,25203200.0,Oceania,4.2631578947368425,114
2020-04-06,6,4,2020,827,15,Pakistan,PK,PAK,216565317.0,Asia,4.20125786163522,159
2020-06-25,25,6,2020,577,-31,Italy,IT,ITA,60359546.0,Europe,4.106194690265487,113
2020-05-03,3,5,2020,182,1,Puerto_Rico,PR,PRI,2933404.0,America,4.055555555555555,36
2020-06-16,16,6,2020,116,44,Yemen,YE,YEM,29161922.0,Asia,4.043478260869565,23
2020-03-30,30,3,2020,181,2,Peru,PE,PER,32510462.0,America,4.027777777777778,36
2020-04-26,26,4,2020,3683,66,Peru,PE,PER,32510462.0,America,4.017711171662126,734
2020-04-01,1,4,2020,190,1,Luxembourg,LU,LUX,613894.0,Europe,4.0,38
2020-04-01,1,4,2020,208,9,Dominican_Republic,DO,DOM,10738957.0,America,3.9523809523809526,42
2020-03-22,22,3,2020,171,0,Israel,IL,ISR,8519373.0,Asia,3.885714285714286,35
2020-05-05,5,5,2020,669,82,Belgium,BE,BEL,11455519.0,Europe,3.74468085106383,141
2020-03-16,16,3,2020,190,0,Malaysia,MY,MYS,31949789.0,Asia,3.6341463414634143,41
2020-05-10,10,5,2020,3416,143,Spain,ES,ESP,46937060.0,Europe,3.5975773889636606,743
2020-06-30,30,6,2020,101,0,Rwanda,RW,RWA,12626938.0,Africa,3.590909090909091,22
2020-05-09,9,5,2020,101,0,Paraguay,PY,PRY,7044639.0,America,3.590909090909091,22
2020-03-26,26,3,2020,1426,8,Canada,CA,CAN,37411038.0,America,3.5559105431309908,313
2020-04-15,15,4,2020,222,4,Moldova,MD,MDA,4043258.0,Europe,3.4400000000000004,50
2020-04-01,1,4,2020,336,17,Ecuador,EC,ECU,17373657.0,America,3.421052631578948,76
2020-03-21,21,3,2020,154,0,Thailand,TH,THA,69625581.0,Asia,3.4000000000000004,35
2020-03-10,10,3,2020,237,2,Germany,DE,DEU,83019213.0,Europe,3.3090909090909095,55
2020-04-11,11,4,2020,2196,25,Ecuador,EC,ECU,17373657.0,America,3.264077669902913,515
2020-05-13,13,5,2020,127,0,Cote_dIvoire,CI,CIV,25716554.0,Africa,3.2333333333333334,30
2020-04-01,1,4,2020,414,8,Pakistan,PK,PAK,216565317.0,Asia,3.1818181818181817,99
2020-05-19,19,5,2020,492,186,France,FR,FRA,67012883.0,Europe,3.0999999999999996,120
2020-04-12,12,4,2020,172,1,Uzbekistan,UZ,UZB,32981715.0,Asia,3.095238095238095,42
2020-06-18,18,6,2020,102,0,Costa_Rica,CR,CRI,5047561.0,America,3.08,25
2020-04-17,17,4,2020,114,2,Slovakia,SK,SVK,5450421.0,Europe,3.071428571428571,28
2020-03-07,7,3,2020,122,0,Switzerland,CH,CHE,8544527.0,Europe,3.0666666666666664,30
2020-05-26,26,5,2020,304,40,Belgium,BE,BEL,11455519.0,Europe,3.0533333333333337,75
2020-06-23,23,6,2020,174,0,Palestine,PS,PSE,4981422.0,Asia,3.046511627906977,43
2020-04-14,14,4,2020,214,0,Oman,OM,OMN,4974992.0,Asia,3.037735849056604,53
2020-03-25,25,3,2020,205,1,Saudi_Arabia,SA,SAU,34268529.0,Asia,3.019607843137255,51
